"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"877","89","poldrack-categorize","13","837750","0.0-5.0-8.0-0.0","sub-11_sess-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","5","practice",""
"-1","-1","poldrack-single-stim","14","838009","0.0-5.0-9.0","sub-11_sess-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1041","82","poldrack-categorize","15","840041","0.0-5.0-10.0-0.0","sub-11_sess-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","6","practice",""
"-1","-1","poldrack-single-stim","16","840300","0.0-5.0-11.0","sub-11_sess-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"657","89","poldrack-categorize","17","842320","0.0-5.0-12.0-0.0","sub-11_sess-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","7","practice",""
"-1","-1","poldrack-single-stim","18","842580","0.0-5.0-13.0","sub-11_sess-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"918","71","poldrack-categorize","19","844620","0.0-5.0-14.0-0.0","sub-11_sess-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","8","practice",""
"-1","-1","poldrack-single-stim","20","844881","0.0-5.0-15.0","sub-11_sess-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"981","71","poldrack-categorize","21","846919","0.0-5.0-16.0-0.0","sub-11_sess-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","9","practice",""
"-1","-1","poldrack-single-stim","22","847180","0.0-5.0-17.0","sub-11_sess-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1768","32","poldrack-text","23","848953","0.0-6.0","sub-11_sess-02_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","1768","0","fmri_scanner_wait","","","","","","","","","","","",""
"62241","84","poldrack-text","24","911197","0.0-7.0","sub-11_sess-02_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","62241","0","fmri_trigger_wait","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","25","912220","0.0-8.0","sub-11_sess-02_1","","1000","0","fmri_buffer","","none","1000","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","913741","0.0-9.0","sub-11_sess-02_1","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","914761","0.0-10.0","sub-11_sess-02_1","","500","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"690","89","poldrack-single-stim","28","916779","0.0-11.0-0.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","0","test",""
"630","71","poldrack-single-stim","29","918799","0.0-11.0-1.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","1","test",""
